exp. number,configurations,loss,intermediate errors,intermediate errors percentage,final errors,final errors percentage,training addded,training cancelled,accurate continuations (refers only to conscious continuations),rectangle volumes,rectangle diameters
0,"(0, [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 52)",0.011104220524430275,15.14048181338261,109869.45911398067,nan,nan,True,False,nan,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]","[51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782, 51.68601788147782]"
1,"(1, [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 6)",0.003984353970736265,0.005094608291983599,58.65431711172923,nan,nan,True,False,nan,"[nan, 0.3333333333333333, 0.3333333333333333, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111]","[nan, 6.164414002968976, 6.164414002968976, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592]"
2,"(2, [0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 659)",0.015080895274877548,0.0054705062184234945,32.624249643001704,nan,nan,True,False,nan,"[nan, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.33333333333333337, 0.11111111111111112, 0.11111111111111112, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, 658.3348523189227, 658.3348523189227, 658.3348523189227, 658.3348523189227, 658.3346835429192, 658.3346835429192, 658.3345147668724, 658.3345147668724, 658.3345147668724, 658.3345147668724]"
3,"(3, [0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 6)",0.0036083627492189407,0.006047275107223086,100.46090451558804,nan,nan,True,False,nan,"[nan, nan, nan, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.128258770283412, 6.128258770283412]"
4,"(4, [0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 6)",0.004276579711586237,0.0021044364276544304,27.543844663277827,nan,nan,True,False,nan,"[nan, nan, nan, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112]","[nan, nan, nan, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592, 6.146362971528592]"
5,"(5, [0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 659)",0.016031546518206596,0.003663952746875865,20.534805238811753,nan,nan,True,False,nan,"[nan, nan, nan, nan, nan, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112, 0.11111111111111112]","[nan, nan, nan, nan, nan, 658.3346835429192, 658.3346835429192, 658.3346835429192, 658.3346835429192, 658.3346835429192, 658.3346835429192]"
6,"(6, [0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 659)",0.01650884747505188,0.002417653657817296,13.273762095707903,nan,nan,True,False,nan,"[nan, nan, nan, nan, nan, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113, 0.11111111111111113]","[nan, nan, nan, nan, nan, 658.3346835429192, 658.3346835429192, 658.3346835429192, 658.3346835429192, 658.3346835429192, 658.3346835429192]"
7,"(7, [0.5, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 659)",inf,0.0012541367434119478,7.734058046405326,nan,nan,False,True,nan,"[nan, nan, nan, nan, nan, nan, nan, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, nan, nan, nan, nan, 658.3345147668724, 658.3345147668724, 658.3345147668724, 658.3345147668724]"
8,"(8, [0.5, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 659)",0.01506710797548294,0.0018209333089661897,11.267482742751083,nan,nan,True,False,nan,"[nan, nan, nan, nan, nan, nan, nan, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704, 0.03703703703703704]","[nan, nan, nan, nan, nan, nan, nan, 658.3345147668724, 658.3345147668724, 658.3345147668724, 658.3345147668724]"
9,"(9, [0.167, 0.167, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 6)",0.0035690106451511383,0.0052865987482466886,108.67226908149156,nan,nan,True,False,nan,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.037037037037037035, 0.037037037037037035]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 6.128258770283412, 6.128258770283412]"
10,"(10, [0.167, 0.833, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5], 6)",0.0051376959308981895,0.0017429285694364662,15.659631403288959,nan,nan,True,False,nan,"[nan, nan, nan, nan, nan, nan, nan, nan, nan, 0.03703703703703704, 0.03703703703703704]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 6.128258770283412, 6.128258770283412]"
